Question ID,Question Text,Answer ID,Answer Text,Answer Value
Q1,"What is the intent of your portfolio? Please select the most appropriate one.",answer-Q1-1,"To generate income for today ",0
Q1,"What is the intent of your portfolio? Please select the most appropriate one.",answer-Q1-2,"To generate income at a later date ",10
Q1,"What is the intent of your portfolio? Please select the most appropriate one.",answer-Q1-3,"To provide for my dependents (I do not anticipate using these funds) ",15
Q1,"What is the intent of your portfolio? Please select the most appropriate one.",answer-Q1-4,"To fund a large purchase in the future",10
Q1,"What is the intent of your portfolio? Please select the most appropriate one.",answer-Q1-5,"To fund a philanthropy goal in the future",15
Q2,"What would your ideal portfolio experience be? Please select the most appropriate one.",answer-Q2-1,"To ensure my portfolio remains secure ",2
Q2,"What would your ideal portfolio experience be? Please select the most appropriate one.",answer-Q2-2,"To see my portfolio grow and to avoid fluctuating returns ",5
Q2,"What would your ideal portfolio experience be? Please select the most appropriate one.",answer-Q2-3,"To balance growth and security, and to keep pace with inflation ",10
Q2,"What would your ideal portfolio experience be? Please select the most appropriate one.",answer-Q2-4,"To provide growth potential, and to accept some fluctuation in returns ",15
Q2,"What would your ideal portfolio experience be? Please select the most appropriate one.",answer-Q2-5,"To provide the sole objective of potential long-term growth ",20
Q3,"Which of the following ranges includes your age?",answer-Q3-1,"Under 49",15
Q3,"Which of the following ranges includes your age?",answer-Q3-2,"50 to 59",10
Q3,"Which of the following ranges includes your age?",answer-Q3-3,"60 to 69",5
Q3,"Which of the following ranges includes your age?",answer-Q3-4,"70 to 79",3
Q3,"Which of the following ranges includes your age?",answer-Q3-5,"Over 79",2
Q4,"Which of the following ranges best represents your current annual family income (including pensions) before taxes?",answer-Q4-1,"Under $60,000",4
Q4,"Which of the following ranges best represents your current annual family income (including pensions) before taxes?",answer-Q4-2,"$60,000 to $100,000",6
Q4,"Which of the following ranges best represents your current annual family income (including pensions) before taxes?",answer-Q4-3,"$100,001 to $175,000",8
Q4,"Which of the following ranges best represents your current annual family income (including pensions) before taxes?",answer-Q4-4,"$175,001 to $250,000",10
Q4,"Which of the following ranges best represents your current annual family income (including pensions) before taxes?",answer-Q4-5,"More than $250,000",10
Q5,"After deducting any loan or mortgage balances, which one of the following ranges best represents your immediate familys overall net worth?",answer-Q5-1,"Under $30,000 ",2
Q5,"After deducting any loan or mortgage balances, which one of the following ranges best represents your immediate familys overall net worth?",answer-Q5-2,"$30,000 to $50,000 ",4
Q5,"After deducting any loan or mortgage balances, which one of the following ranges best represents your immediate familys overall net worth?",answer-Q5-3,"$50,001 to $100,000 ",6
Q5,"After deducting any loan or mortgage balances, which one of the following ranges best represents your immediate familys overall net worth?",answer-Q5-4,"$100,001 to $200,000 ",8
Q5,"After deducting any loan or mortgage balances, which one of the following ranges best represents your immediate familys overall net worth?",answer-Q5-5,"More than $200,000",10
Q6,"When would you begin using/withdrawing from your investment accounts?",answer-Q6-1,"Less than 3 years",0
